size=10,dist.,560131304653994142020448,560133507645573790403424,560133507860303244614124,560133523265106113654328,560133538458879054407484,560133538566604913257224,560133538673613562644948,560133538779853582920468,560133538781354971761516,560133538781354971761516
,%space,8.46%,8.46%,8.46%,8.46%,8.46%,8.46%,8.46%,8.46%,8.46%,8.46%
BST,#valid,4,8,12,16,21,25,29,33,37,42
size=5,dist.,199551757142,200006597882,200107644123,256229627942,256684491361,256788796863,268739277844,268743355564,270498981603,270498981603
,%space,17.6%,17.64%,17.65%,22.6%,22.64%,22.65%,23.7%,23.7%,23.86%,23.86%
BST,#valid,486,972,1458,1944,2431,2917,3403,3889,4375,4862
size=9,dist.,395301885251729208045826505,395316215058207581750347203,468361258187729432762345403,468480832151964644275637406,468495663873704101506318307,476957689145561354875637406,477405625614317171750347203,478422963492803018747917200,479304704359328356332002705,479304704359328356332002705
,%space,10.2%,10.2%,12.09%,12.09%,12.09%,12.31%,12.32%,12.35%,12.37%,12.37%
BST,#valid,1679,3359,5038,6718,8398,10077,11757,13436,15116,16796
size=10,dist.,6840256148888403107834902029047,6840412416291386531642234754974,8000859020755316801687587546665,8002274268820130224784603776132,8002432438797714213317031538774,8123039356442364425781270722594,8130627618214360932609757482646,8145465010264674038100919532023,8158657371158009314729478501234,8158657371158009314729478501234
,%space,9.24%,9.24%,10.81%,10.81%,10.81%,10.98%,10.99%,11.01%,11.02%,11.02%
